file_path,file_size,file_type,scenario,decision,reason,replacement_file,confidence
data/CTU-13-Dataset/5/capture20110815-2.binetflow,17766203,Binetflow,5,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/5/e4f816462c4fc84bb250e2b1d295bf23_85f9a5247afbe51e64794193f1dd72eb_unpacked.exe,598528,Malware Executable,5,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/5/README,2021,Documentation / Metadata,5,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/6/botnet-capture-20110816-donbot.pcap,5284095,PCAP,6,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/6/capture20110816.binetflow,HIGH
data/CTU-13-Dataset/6/capture20110816.binetflow,76780048,Binetflow,6,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/6/README,1904,Documentation / Metadata,6,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/6/svchosta.exe,128512,Malware Executable,6,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/7/botnet-capture-20110816-sogou.pcap,18868213,PCAP,7,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/7/capture20110816-2.binetflow,HIGH
data/CTU-13-Dataset/7/capture20110816-2.binetflow,15630512,Binetflow,7,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/7/README,2795,Documentation / Metadata,7,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/7/sogou_explorer_silent_1.4.0.418_2136.exe,4261648,Malware Executable,7,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/8/botnet-capture-20110816-qvod.pcap,21366192,PCAP,8,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/8/capture20110816-3.binetflow,HIGH
data/CTU-13-Dataset/8/capture20110816-3.binetflow,403955463,Binetflow,8,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/8/QvodSetuPuls23.exe,174363,Malware Executable,8,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/8/README,1860,Documentation / Metadata,8,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/9/botnet-capture-20110817-bot.pcap,1126596020,PCAP,9,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/9/capture20110817.binetflow,HIGH
data/CTU-13-Dataset/9/capture20110817.binetflow,285841002,Binetflow,9,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/9/Neris.exe,586240,Malware Executable,9,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/9/README,5807,Documentation / Metadata,9,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/10/botnet-capture-20110818-bot.pcap,70688336180,PCAP,10,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/10/capture20110818.binetflow,HIGH
data/CTU-13-Dataset/10/capture20110818.binetflow,179074339,Binetflow,10,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/10/rbot.exe,225792,Malware Executable,10,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/10/README,9329,Documentation / Metadata,10,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/11/botnet-capture-20110818-bot-2.pcap,4263638204,PCAP,11,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/11/capture20110818-2.binetflow,HIGH
data/CTU-13-Dataset/11/capture20110818-2.binetflow,14596615,Binetflow,11,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/11/rbot.exe,225792,Malware Executable,11,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/11/README,2571,Documentation / Metadata,11,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/12/3d3d%3F%3F%3F%3F.xls.exe,705167,Malware Executable,12,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/12/botnet-capture-20110819-bot.pcap,294902378,PCAP,12,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/12/capture20110819.binetflow,HIGH
data/CTU-13-Dataset/12/capture20110819.binetflow,44718958,Binetflow,12,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/12/README,3852,Documentation / Metadata,12,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/13/botnet-capture-20110815-fast-flux-2.pcap,114572014,PCAP,13,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/13/capture20110815-3.binetflow,HIGH
data/CTU-13-Dataset/13/capture20110815-3.binetflow,262668288,Binetflow,13,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/13/e4f816462c4fc84bb250e2b1d295bf23_85f9a5247afbe51e64794193f1dd72eb_unpacked.exe,598528,Malware Executable,13,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/13/README,1986,Documentation / Metadata,13,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
